created_at,user,tweet
2023-01-11 14:46:11,CultivatorNews,"New Jersey Governor Touts Marijuana Industry Growth In State Of State Address, With Cannabis Business Exec As Guest #Featured #Politics #Video https://t.co/WgX1JTnNWU https://t.co/981HmFIMtd"
2023-01-11 14:45:52,TalkAtCha1,Who would you rather have as head coach Sean Payton or Jim harbaugh for the Denver Broncos position? https://t.co/VtD3mD8rhZ #SocialMedia #miytube #news #sports #politics #entertainmentnews #dating #InformationSeeking #jobs #issues #protests #life #housing #police https://t.co/VygqJ4o6Q9
2023-01-11 14:45:34,frankIIIowski,Recessions which we are in currently (sorry I believe in definitions 🤣) are the greatest times for businesses actually. The economy is trash and going to continue to decline. People are hurting. Don’t believe the news! #politics #news #economy
2023-01-11 14:45:28,iamths1973,"I see loopy &amp; toxic @ABridgen has deleted the tweet that finally got him the @Conservatives whip removed. Here it is for @twitter posterity. Time for @NWLeicsBlue to deselect &amp; oust #AndrewBridgen. #JustDoIt 

#politics | #antisemitism https://t.co/3bNF0ArMhS"
2023-01-11 14:45:06,GSPMgwu,"ICYMI: GSPM Board of Advisors member @mattklink joined @KTLA Morning News last Saturday to make sense of the #CapitolHill carousel that led to the election of Kevin #McCarthy as Speaker of the House.

@cpsgwu #politics #Congress #LegislativeAffairs
https://t.co/euzThf7LXF"
2023-01-15 12:51:19,SeefinishPublyk,"#Politics : Presidential Election: Another candidate woos Obasanjo, wants him to dump Obi
Source: Premium Times[… https://t.co/O6aCepNfsH"
2023-01-15 12:50:54,tanks_news,"Our news version of https://t.co/z7QRqjVD3F is live.
Stay tuned! news features are coming soon!
#thinktanks #news… https://t.co/ZvCQAP1Fgx"
2023-01-15 12:48:33,IsItNotDebunked,The world of politics is a breeding ground for fake news. Gov. use it to manipulate public opinion and control the… https://t.co/4Vj55KEXgP
2023-01-15 12:47:30,wearewhfm,"This afternoon at 1pm it's Democracy Show- the regions only #politics show on the radio, featuring local, national… https://t.co/hAO0mFLzVB"
2023-01-15 12:46:17,TheAfricanTime,"Ethiopia- Prime Minister Abiy’s Surprising Cabinet Shakeup Continues
By Addisu Deresse, Addis Ababa
#Ethiopia… https://t.co/X4U49gE5jS"
2023-01-15 12:46:11,ReusDu,I’m not American but it doesn’t take a fool to notice that Rep Sandra Jackson Lee openly promotes racism through he… https://t.co/Ze5EKGkIFQ
2023-01-15 12:58:16,sinardailymy,MIC hopes that any decision on the proposed cooperation between Barisan Nasional (BN) and Pakatan Harapan (PH) to face the six state elections will be reached by consensus among BN's component parties. #MIC #BN #Politics #Consensus https://t.co/UfN1s3vBl4
2023-01-15 12:57:49,CobrettiBoss,"Does this trigger you libtard? #whitelivesmatter 

#LiberalismIsAMentalDisease #LiberalHypocrisy #LiberalsMustGo #LiberalismIsAMentalDisorder #liberalism #Conservative #Republicans #trump #biden #politics #Elections #vaccines #masks #usa #europe https://t.co/kfuWtmfzbb"
2023-01-15 12:55:15,PaulWalker1973,"So much talk about the decay of the state. How many people realise that this is what the Government WANT so they can claim state bankruptcy, make it smaller and skim off to their mates?  #politics"
2023-01-15 12:54:44,aviralsan,For a small city Mayor!  How much more worse can it get! 🤦🏻‍♂️ #india #politics https://t.co/JaTii8PByC
2023-01-15 12:53:42,worldnews_guru,"Nordstream 2, Pentagon Diversity Chief, UFOs… Whatever Happened to These “Investigations” and “Reports”? https://t.co/U5l4ebZfMd #politics"
2023-01-15 12:51:19,SeefinishPublyk,"#Politics : Presidential Election: Another candidate woos Obasanjo, wants him to dump Obi
Source: Premium Times[🙋‍♀️Read More Headlines] https://t.co/YdGythxK40

#News #Nigeria"
2023-01-15 12:50:54,tanks_news,"Our news version of https://t.co/z7QRqjVD3F is live.
Stay tuned! news features are coming soon!
#thinktanks #news #politics #economy #Ukraine #Europe #USA #Research #China #UkraineWar #inflation https://t.co/qqJYOtnr1R"
2023-01-15 12:48:33,IsItNotDebunked,"The world of politics is a breeding ground for fake news. Gov. use it to manipulate public opinion and control the narrative. We must be vigilant &amp; question everything we're told. Don't let them control your thoughts, question the narrative #fakeNews #politics #QuestionEverything https://t.co/Tp5V3ai0Vs"
2023-01-15 12:47:30,wearewhfm,"This afternoon at 1pm it's Democracy Show- the regions only #politics show on the radio, featuring local, national and international politics, including stories from #Hull and #Cottingham, MP's earnings for second jobs, #KeirStarmer and #RishiSunak's recent policy speech's.... https://t.co/PXuc7kcURw"
2023-01-15 12:46:17,TheAfricanTime,"Ethiopia- Prime Minister Abiy’s Surprising Cabinet Shakeup Continues
By Addisu Deresse, Addis Ababa
#Ethiopia #politics
https://t.co/o5s3SMWXq7"
2023-01-15 13:00:30,Outlookindia,"#OutlookMagazine | Why must being beautiful be displaced either to a past or is deferred to a future, wonders Aradhana Seth

✍️@AradhanaSeth 

Photo: Aradhana Seth

#politics #Coverstory #emotions
#youth

Read more at:
https://t.co/pEEb67dWaL"
2023-01-15 13:00:11,botwotabot,"@SpeakerPelosi @HouseGOP Ya, but what about trump....😂 #pelosi #trump #politics #vote @Rich6223 @fozzybear013"
2023-01-15 13:00:09,DavidBenHorin,"What if?

The dems 2024 strategy is to nail Biden for the same ""crime"" Trump committed - classified docs. 

They both go down. 

The right ""blows off steam"" with a Biden impeachment and resignation, only to watch Harris defeat DeSantis.

#elections #politics"
2023-01-15 12:59:50,kercado_victor,Easy to cooperate when it's your friends you're cooperating with. 🤫😒 #politics #BidenDocuments https://t.co/ZGX5IxRO4N
2023-01-15 12:58:16,sinardailymy,MIC hopes that any decision on the proposed cooperation between Barisan Nasional (BN) and Pakatan Harapan (PH) to face the six state elections will be reached by consensus among BN's component parties. #MIC #BN #Politics #Consensus https://t.co/UfN1s3vBl4
